"filename", "language", "Python", "Ini", "comment", "blank", "total"
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_auth.py", "Python", 54, 0, 0, 17, 71
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_core.py", "Python", 30, 0, 2, 7, 39
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_folders.py", "Python", 11, 0, 0, 5, 16
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_roles.py", "Python", 30, 0, 0, 4, 34
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_users.py", "Python", 83, 0, 0, 11, 94
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\config.ini", "Ini", 0, 17, 0, 4, 21
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\config_core.py", "Python", 23, 0, 8, 12, 43
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\crypto_dash\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\crypto_dash\crypto_core.py", "Python", 28, 0, 0, 8, 36
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\main.py", "Python", 12, 0, 0, 2, 14
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\functions\folder_functions.py", "Python", 24, 0, 0, 4, 28
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\functions\image_functions.py", "Python", 12, 0, 0, 2, 14
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\functions\permission_functions.py", "Python", 34, 0, 0, 5, 39
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\functions\plan_functions.py", "Python", 26, 0, 0, 4, 30
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\functions\role_functions.py", "Python", 32, 0, 0, 5, 37
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\functions\user_functions.py", "Python", 109, 0, 1, 15, 125
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\models\folder_model.py", "Python", 26, 0, 0, 3, 29
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\models\image_model.py", "Python", 24, 0, 0, 3, 27
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\models\permission_model.py", "Python", 19, 0, 0, 3, 22
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\models\plan_model.py", "Python", 19, 0, 0, 3, 22
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\models\role_model.py", "Python", 17, 0, 0, 3, 20
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\models\user_model.py", "Python", 64, 0, 0, 10, 74
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\mongo_core.py", "Python", 130, 0, 3, 26, 159
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\mongo_data.py", "Python", 53, 0, 0, 10, 63
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\redis_core.py", "Python", 112, 0, 0, 12, 124
"Total", "-", 972, 17, 14, 180, 1183
