"filename", "language", "Python", "Ini", "JSON", "Markdown", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\details.md", "Markdown", 0, 0, 0, -35, 0, 0, 0, -6, -41
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\diff-details.md", "Markdown", 0, 0, 0, -9, 0, 0, 0, -6, -15
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\diff.md", "Markdown", 0, 0, 0, -12, 0, 0, 0, -7, -19
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\results.json", "JSON", 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\results.md", "Markdown", 0, 0, 0, -22, 0, 0, 0, -7, -29
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\details.md", "Markdown", 0, 0, 0, -47, 0, 0, 0, -6, -53
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\diff-details.md", "Markdown", 0, 0, 0, -40, 0, 0, 0, -6, -46
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\diff.md", "Markdown", 0, 0, 0, -26, 0, 0, 0, -7, -33
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\results.json", "JSON", 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\results.md", "Markdown", 0, 0, 0, -27, 0, 0, 0, -7, -34
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_auth.py", "Python", -66, 0, 0, 0, 0, 0, 0, -18, -84
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_core.py", "Python", -36, 0, 0, 0, 0, 0, -2, -7, -45
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_folders.py", "Python", -65, 0, 0, 0, 0, 0, 0, -7, -72
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_plans.py", "Python", -92, 0, 0, 0, 0, 0, 0, -10, -102
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_roles.py", "Python", -70, 0, 0, 0, 0, 0, 0, -7, -77
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_users.py", "Python", -107, 0, 0, 0, 0, 0, 0, -9, -116
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_users_folder.py", "Python", -80, 0, 0, 0, 0, 0, 0, -10, -90
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\api\api_users_images.py", "Python", -65, 0, 0, 0, 0, 0, 0, -7, -72
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\config copy.ini", "Ini", 0, -17, 0, 0, 0, 0, 0, -4, -21
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\config.ini", "Ini", 0, -25, 0, 0, 0, 0, 0, -5, -30
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\config_core.py", "Python", -23, 0, 0, 0, 0, 0, -8, -12, -43
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\crypto_dash\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\crypto_dash\crypto_core.py", "Python", -28, 0, 0, 0, 0, 0, 0, -8, -36
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\docker\docker-compose.yml", "YAML", 0, 0, 0, 0, -25, 0, 0, -6, -31
