"filename", "language", "Python", "JSON", "YAML", "Properties", "Ini", "Markdown", "comment", "blank", "total"
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\details.md", "Markdown", 0, 0, 0, 0, 0, 35, 0, 6, 41
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 6, 15
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\diff.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 7, 19
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\results.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 7, 29
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\details.md", "Markdown", 0, 0, 0, 0, 0, 47, 0, 6, 53
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 40, 0, 6, 46
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\diff.md", "Markdown", 0, 0, 0, 0, 0, 26, 0, 7, 33
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\results.md", "Markdown", 0, 0, 0, 0, 0, 27, 0, 7, 34
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-22_15-50-38\details.md", "Markdown", 0, 0, 0, 0, 0, 53, 0, 6, 59
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-22_15-50-38\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 20, 0, 6, 26
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-22_15-50-38\diff.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 7, 30
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-22_15-50-38\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-22_15-50-38\results.md", "Markdown", 0, 0, 0, 0, 0, 30, 0, 7, 37
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-08-05_06-20-55\details.md", "Markdown", 0, 0, 0, 0, 0, 70, 0, 6, 76
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-08-05_06-20-55\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 114, 0, 6, 120
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-08-05_06-20-55\diff.md", "Markdown", 0, 0, 0, 0, 0, 52, 0, 7, 59
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-08-05_06-20-55\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-08-05_06-20-55\results.md", "Markdown", 0, 0, 0, 0, 0, 33, 0, 7, 40
"d:\projetos\sd-gen-backend\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projetos\sd-gen-backend\api\api_auth.py", "Python", 104, 0, 0, 0, 0, 0, 26, 21, 151
"d:\projetos\sd-gen-backend\api\api_core.py", "Python", 51, 0, 0, 0, 0, 0, 4, 19, 74
"d:\projetos\sd-gen-backend\api\api_folders.py", "Python", 65, 0, 0, 0, 0, 0, 0, 7, 72
"d:\projetos\sd-gen-backend\api\api_models.py", "Python", 52, 0, 0, 0, 0, 0, 0, 7, 59
"d:\projetos\sd-gen-backend\api\api_plans.py", "Python", 92, 0, 0, 0, 0, 0, 0, 10, 102
"d:\projetos\sd-gen-backend\api\api_roles.py", "Python", 70, 0, 0, 0, 0, 0, 0, 7, 77
